Index_no,listing_id,date,availability
585,953595,8/10/2016,1
586,953595,8/11/2016,1
587,953595,8/12/2016,1
588,953595,8/13/2016,1
589,953595,8/14/2016,1
590,953595,8/15/2016,1
591,953595,8/16/2016,1
592,953595,8/17/2016,1
593,953595,8/18/2016,1
594,953595,8/19/2016,1
595,953595,8/20/2016,1
596,953595,8/21/2016,1
597,953595,8/22/2016,1
598,953595,8/23/2016,1
599,953595,8/24/2016,1
600,953595,8/25/2016,1
601,953595,8/26/2016,1
602,953595,8/27/2016,1
603,953595,8/28/2016,1
604,953595,8/29/2016,1
605,953595,8/30/2016,1
606,953595,8/31/2016,1
607,953595,9/1/2016,1
608,953595,9/2/2016,1
609,953595,9/3/2016,1
610,953595,9/4/2016,1
611,953595,9/5/2016,1
612,953595,9/6/2016,1
613,953595,9/7/2016,1
614,953595,9/8/2016,1
615,953595,9/9/2016,1
616,953595,9/10/2016,1
617,953595,9/11/2016,1
618,953595,9/12/2016,1
619,953595,9/13/2016,1
620,953595,9/14/2016,1
621,953595,9/15/2016,1
622,953595,9/16/2016,1
623,953595,9/17/2016,1
624,953595,9/18/2016,1
625,953595,9/19/2016,1
626,953595,9/20/2016,1
627,953595,9/21/2016,1
628,953595,9/22/2016,1
629,953595,9/23/2016,1
630,953595,9/24/2016,1
631,953595,9/25/2016,1
632,953595,9/26/2016,1
633,953595,9/27/2016,1
634,953595,9/28/2016,1
635,953595,9/29/2016,1
636,953595,9/30/2016,1
637,953595,10/1/2016,1
638,953595,10/2/2016,1
639,953595,10/3/2016,1
640,953595,10/4/2016,1
641,953595,10/5/2016,1
642,953595,10/6/2016,1
643,953595,10/7/2016,1
644,953595,10/8/2016,1
645,953595,10/9/2016,1
646,953595,10/10/2016,1
647,953595,10/11/2016,1
648,953595,10/12/2016,1
649,953595,10/13/2016,1
650,953595,10/14/2016,1
651,953595,10/15/2016,1
652,953595,10/16/2016,1
653,953595,10/17/2016,1
654,953595,10/18/2016,1
655,953595,10/19/2016,1
656,953595,10/20/2016,1
657,953595,10/21/2016,1
658,953595,10/22/2016,1
659,953595,10/23/2016,1
660,953595,10/24/2016,1
661,953595,10/25/2016,1
662,953595,10/26/2016,1
663,953595,10/27/2016,1
664,953595,10/28/2016,1
665,953595,10/29/2016,1
666,953595,10/30/2016,1
667,953595,10/31/2016,1
668,953595,11/1/2016,1
669,953595,11/2/2016,1
670,953595,11/3/2016,1
671,953595,11/4/2016,1
672,953595,11/5/2016,1
673,953595,11/6/2016,1
674,953595,11/7/2016,1
675,953595,11/8/2016,1
676,953595,11/9/2016,1
677,953595,11/10/2016,1
678,953595,11/11/2016,1
679,953595,11/12/2016,1
680,953595,11/13/2016,1
681,953595,11/14/2016,1
682,953595,11/15/2016,1
683,953595,11/16/2016,1
684,953595,11/17/2016,1
685,953595,11/18/2016,1
686,953595,11/19/2016,1
687,953595,11/20/2016,1
688,953595,11/21/2016,1
