cancellation_id,listing_id,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month
377,3783162,f,strict,1,2.41
378,6606,f,strict,1,0.66
379,3889280,f,strict,37,
380,3971137,f,flexible,1,0.37
381,3889050,f,strict,37,0.18
382,799882,f,flexible,2,0.85
383,9508386,f,moderate,1,1
384,6714817,f,flexible,1,0.31
385,3773700,f,flexible,1,0.36
386,3773568,f,moderate,1,0.68
387,9313974,f,flexible,2,
388,6492880,f,strict,1,1.79
389,4879013,f,moderate,1,2.88
390,3732094,f,strict,37,0.3
391,873073,f,moderate,1,0.43
392,234898,f,strict,1,1.38
393,8533375,f,flexible,1,1.15
394,6854019,f,strict,1,
395,8418650,t,moderate,1,4.56
396,3732076,f,strict,37,0.41
397,4608592,f,flexible,1,2.45
398,4862719,f,flexible,2,5.27
399,668169,f,strict,2,0.39
400,429453,f,strict,3,0.31
401,10124808,f,flexible,1,
402,7459684,f,strict,1,3.98
403,5992645,f,strict,1,0.23
404,7917718,f,strict,1,3.72
405,2986056,f,strict,37,0.28
406,2011193,f,strict,2,0.24
407,3768626,f,flexible,1,2.57
408,2026794,f,moderate,2,4.18
409,9154294,t,moderate,1,1.76
410,430610,f,strict,4,1.69
411,3231850,f,strict,1,4.52
412,2976798,f,flexible,1,3.07
413,703058,f,moderate,1,2.16
414,7826541,f,moderate,2,0.23
415,240920,f,strict,2,0.36
416,6655233,f,moderate,2,2.57
417,9866461,t,flexible,1,1
418,7957729,f,flexible,1,
419,1428687,f,strict,1,1.12
420,4803403,f,flexible,1,0.89
421,11012,f,strict,1,0.65
422,3888924,f,strict,37,0.36
423,8842808,f,strict,1,
424,1114695,f,strict,4,1.22
425,1715582,f,moderate,1,0.92
426,6704734,f,moderate,1,
427,8555098,f,flexible,1,
428,1214316,f,moderate,2,2.63
429,7325455,f,flexible,1,1
430,6325685,t,strict,2,5.87
431,9596,f,strict,1,0.58
432,9568491,f,flexible,1,3.43
433,1747184,f,strict,1,1.29
434,8653843,f,flexible,1,0.72
435,6727729,f,moderate,1,0.81
436,3888986,f,strict,37,0.2
437,4135710,f,strict,2,
438,3652434,t,moderate,1,5.88
439,7667990,f,moderate,1,0.25
440,4047058,t,strict,3,3.08
441,7163934,f,moderate,1,1.42
442,7717478,f,flexible,1,
443,4653552,f,flexible,1,2.74
444,6915439,f,moderate,1,
445,506542,f,strict,3,1.98
446,4046863,t,strict,3,4.56
447,3915826,f,moderate,1,0.7
448,4787415,f,strict,1,
449,1602488,f,moderate,1,4.29
450,8459215,f,flexible,1,
451,10274175,f,flexible,1,
452,9167786,f,flexible,2,0.65
453,5686435,f,strict,1,0.88
454,7939058,f,moderate,1,1.54
455,8392801,f,moderate,1,1.61
456,7404370,f,moderate,1,0.37
457,3720511,f,moderate,1,0.29
458,8193332,f,flexible,1,0.86
459,7957904,t,flexible,1,0.44
460,4555997,f,moderate,1,2.23
461,2267088,t,moderate,1,2.64
462,108468,f,strict,1,0.04
463,6400379,f,moderate,2,3.07
464,5948003,f,flexible,1,3.54
465,5058086,t,moderate,1,2.76
466,1209255,f,strict,1,1.24
467,1914051,f,strict,2,2.89
468,2923529,f,flexible,1,3.18
469,1027860,f,strict,1,0.07
470,2373176,f,strict,2,3.17
471,6404427,f,moderate,1,4.26
472,8517602,t,flexible,1,7.5
