price_no,listing_id,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights
308,3739681,$125.00 ,$700.00 ,"$2,500.00 ",$100.00 ,$50.00 ,4,$0.00 ,3,1125
309,7922063,$42.00 ,,,,,1,$10.00 ,1,1125
310,611509,$65.00 ,$425.00 ,"$1,350.00 ",$200.00 ,$40.00 ,1,$15.00 ,2,90
311,1802663,$100.00 ,$600.00 ,"$2,100.00 ",$95.00 ,$40.00 ,2,$35.00 ,2,35
312,9797545,$40.00 ,,,,$15.00 ,1,$0.00 ,7,90
313,9241055,$185.00 ,,,$200.00 ,,4,$25.00 ,4,1125
314,9294832,$40.00 ,,,,$35.00 ,1,$0.00 ,2,1125
315,8643209,$70.00 ,$350.00 ,"$1,300.00 ",,$20.00 ,1,$10.00 ,1,1125
316,7258811,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
317,10265391,$70.00 ,,,,,1,$0.00 ,1,1125
318,132120,$110.00 ,$600.00 ,"$2,000.00 ",,$40.00 ,1,$0.00 ,2,30
319,6343866,$99.00 ,,,$400.00 ,$100.00 ,1,$0.00 ,2,1125
320,3066740,$680.00 ,,,"$1,000.00 ",$275.00 ,6,$0.00 ,1,1125
321,4130112,$195.00 ,"$1,300.00 ","$3,800.00 ",,$75.00 ,5,$20.00 ,5,90
322,4026757,$55.00 ,$432.00 ,,,$25.00 ,1,$25.00 ,1,365
323,9545281,$90.00 ,,,,,1,$0.00 ,1,1125
324,3294804,$119.00 ,,,,$50.00 ,2,$10.00 ,2,90
325,4122325,$175.00 ,,,$100.00 ,,5,$0.00 ,2,14
326,8308353,$65.00 ,$550.00 ,"$1,800.00 ",,,1,$15.00 ,1,1125
327,7226013,$75.00 ,,,,,1,$0.00 ,1,1125
328,5761290,$126.00 ,$790.00 ,"$2,649.00 ",$350.00 ,$65.00 ,2,$20.00 ,2,30
329,182716,$70.00 ,$450.00 ,,$300.00 ,,1,$10.00 ,2,30
330,3050140,$90.00 ,$600.00 ,"$2,000.00 ",$100.00 ,$50.00 ,2,$10.00 ,2,365
331,3254956,$129.00 ,$700.00 ,"$1,990.00 ",,$60.00 ,1,$10.00 ,1,1125
332,1264287,$225.00 ,"$1,470.00 ","$5,964.00 ",$700.00 ,,4,$30.00 ,3,1125
333,3404557,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
334,3939683,$50.00 ,$275.00 ,$850.00 ,$350.00 ,$28.00 ,2,$30.00 ,5,1125
335,3424242,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
336,7985714,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,5,1125
337,4279876,$95.00 ,,,$400.00 ,,2,$15.00 ,2,29
338,3870253,$175.00 ,,,,,1,$0.00 ,2,1125
339,2187563,$160.00 ,"$1,000.00 ","$3,500.00 ",$400.00 ,$90.00 ,2,$15.00 ,2,1125
340,3889299,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
341,3889330,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
342,1184846,$120.00 ,,,$100.00 ,,1,$0.00 ,3,1125
343,3626162,$66.00 ,$393.00 ,"$1,386.00 ",,$70.00 ,2,$10.00 ,2,1125
344,456040,$55.00 ,,,,,1,$10.00 ,1,31
345,9033154,$350.00 ,"$2,100.00 ",,$350.00 ,$90.00 ,1,$0.00 ,4,1125
346,4340838,$85.00 ,$500.00 ,,,$20.00 ,1,$0.00 ,1,1125
347,808811,$175.00 ,"$1,000.00 ","$2,500.00 ",,$50.00 ,2,$20.00 ,2,1125
348,7368030,$105.00 ,$650.00 ,,,,1,$0.00 ,5,1125
349,522287,$55.00 ,,,,$10.00 ,1,$20.00 ,1,30
350,1940787,$150.00 ,,,$300.00 ,$75.00 ,6,$25.00 ,1,1125
351,3732103,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
352,43373,$59.00 ,$395.00 ,"$1,389.00 ",,$15.00 ,1,$10.00 ,2,730
353,5126365,$80.00 ,$400.00 ,"$1,500.00 ",,$30.00 ,1,$10.00 ,1,1125
354,7182584,$200.00 ,,"$3,000.00 ",,$40.00 ,4,$20.00 ,1,1125
355,5325214,$60.00 ,$325.00 ,"$1,250.00 ",,,1,$0.00 ,1,500
356,2710274,$59.00 ,,,,$15.00 ,1,$10.00 ,2,1125
357,5128160,$575.00 ,"$3,250.00 ","$9,500.00 ",$500.00 ,$175.00 ,0,$0.00 ,4,31
358,3424114,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
359,2776890,$139.00 ,,,,$25.00 ,1,$0.00 ,2,10
360,4521755,$70.00 ,$750.00 ,"$2,900.00 ",$250.00 ,$75.00 ,1,$0.00 ,2,1125
361,3456599,$85.00 ,,"$2,500.00 ",,$50.00 ,2,$10.00 ,2,90
362,8207848,$259.00 ,,,,$155.00 ,1,$0.00 ,3,1125
363,10249527,$39.00 ,,,,,1,$0.00 ,1,1125
364,1252740,$70.00 ,$450.00 ,"$1,600.00 ",,,2,$25.00 ,2,14
365,4250938,$166.00 ,,,,$209.00 ,1,$0.00 ,3,1125
366,3791920,$99.00 ,$685.00 ,,,,2,$10.00 ,2,1125
367,4258762,$110.00 ,,,$100.00 ,$20.00 ,1,$20.00 ,2,1125
368,7364146,$100.00 ,,,$100.00 ,$75.00 ,2,$5.00 ,1,1125
369,6765045,$250.00 ,,,$200.00 ,$65.00 ,1,$0.00 ,2,1125
370,3193738,$150.00 ,"$1,600.00 ","$3,700.00 ",$400.00 ,$120.00 ,1,$0.00 ,7,1125
371,8765219,$200.00 ,$833.00 ,"$2,940.00 ",$100.00 ,$50.00 ,1,$0.00 ,2,1125
372,8174285,$95.00 ,,,$300.00 ,$75.00 ,2,$25.00 ,5,60
373,3403638,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
374,7601333,$215.00 ,"$1,205.00 ","$4,220.00 ",$250.00 ,$65.00 ,1,$0.00 ,2,31
375,6707735,$110.00 ,$750.00 ,"$2,400.00 ",,$15.00 ,1,$0.00 ,1,1125
376,7322718,$249.00 ,,,$300.00 ,$100.00 ,1,$0.00 ,4,1125
377,3783162,$295.00 ,,"$7,500.00 ",$300.00 ,$95.00 ,8,$40.00 ,1,1125
378,6606,$90.00 ,$670.00 ,,$200.00 ,$40.00 ,2,$10.00 ,2,1125
379,3889280,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
380,3971137,$85.00 ,,,$100.00 ,$8.00 ,0,$0.00 ,2,30
381,3889050,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
382,799882,$40.00 ,$200.00 ,$520.00 ,$150.00 ,$20.00 ,1,$15.00 ,1,1125
383,9508386,$245.00 ,,,$350.00 ,$150.00 ,4,$20.00 ,2,1125
384,6714817,$130.00 ,$900.00 ,,$350.00 ,$50.00 ,1,$0.00 ,5,22
385,3773700,$210.00 ,,,,$100.00 ,1,$0.00 ,1,1125
386,3773568,$439.00 ,"$2,399.00 ",,$399.00 ,$99.00 ,4,$35.00 ,2,1125
387,9313974,$90.00 ,$500.00 ,"$2,000.00 ",,,1,$0.00 ,1,1125
388,6492880,$95.00 ,,,$100.00 ,$82.00 ,2,$25.00 ,2,15
389,4879013,$109.00 ,,,$100.00 ,$60.00 ,2,$15.00 ,2,1125
390,3732094,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$28.00 ,1,$0.00 ,4,1125
391,873073,$175.00 ,"$1,225.00 ","$5,000.00 ",$100.00 ,$75.00 ,4,$50.00 ,3,28
392,234898,$80.00 ,$450.00 ,"$1,800.00 ",$100.00 ,$40.00 ,2,$0.00 ,4,365
393,8533375,$105.00 ,$600.00 ,,,,1,$0.00 ,2,1125
394,6854019,$400.00 ,,,$250.00 ,$150.00 ,6,$15.00 ,1,1125
395,8418650,$100.00 ,$575.00 ,"$1,950.00 ",$500.00 ,$50.00 ,3,$7.00 ,2,1125
396,3732076,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
397,4608592,$160.00 ,,,$500.00 ,$20.00 ,4,$20.00 ,2,30
398,4862719,$55.00 ,,,,,1,$10.00 ,1,1125
399,668169,$55.00 ,$370.00 ,$990.00 ,$300.00 ,$30.00 ,1,$15.00 ,3,30
400,429453,$150.00 ,$500.00 ,"$1,450.00 ",,$30.00 ,1,$25.00 ,5,60
401,10124808,$55.00 ,,,,,1,$0.00 ,1,1125
402,7459684,$95.00 ,$595.00 ,"$2,100.00 ",$200.00 ,$50.00 ,2,$20.00 ,1,1125
403,5992645,$155.00 ,"$1,096.00 ","$3,500.00 ",$500.00 ,$100.00 ,4,$25.00 ,3,1125
404,7917718,$55.00 ,$419.00 ,"$1,499.00 ",,$25.00 ,1,$15.00 ,1,1125
405,2986056,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
406,2011193,$250.00 ,,,$400.00 ,$100.00 ,7,$25.00 ,2,28
407,3768626,$145.00 ,$875.00 ,"$2,500.00 ",$150.00 ,$50.00 ,2,$0.00 ,1,1125
408,2026794,$54.00 ,,,,$15.00 ,1,$10.00 ,1,1125
409,9154294,$99.00 ,$800.00 ,"$2,900.00 ",$100.00 ,,1,$0.00 ,2,1125
410,430610,$254.00 ,,"$6,300.00 ",$300.00 ,$125.00 ,7,$15.00 ,1,1125
411,3231850,$100.00 ,,,$200.00 ,$45.00 ,1,$0.00 ,2,14
412,2976798,$65.00 ,$450.00 ,,$500.00 ,$10.00 ,2,$10.00 ,2,1125
413,703058,$150.00 ,,,$500.00 ,$60.00 ,2,$15.00 ,2,27
414,7826541,$140.00 ,,,,$30.00 ,2,$25.00 ,1,1125
415,240920,$45.00 ,$275.00 ,$950.00 ,$250.00 ,$20.00 ,1,$10.00 ,3,31
416,6655233,$74.00 ,$420.00 ,"$1,000.00 ",$100.00 ,$15.00 ,1,$10.00 ,1,1125
417,9866461,$60.00 ,,,,,2,$20.00 ,1,4
418,7957729,$350.00 ,,,,,1,$0.00 ,3,1125
419,1428687,$135.00 ,"$1,000.00 ","$4,100.00 ",$350.00 ,$50.00 ,2,$5.00 ,2,1125
420,4803403,$85.00 ,$525.00 ,"$1,395.00 ",$200.00 ,$80.00 ,2,$30.00 ,2,1125
421,11012,$310.00 ,"$2,100.00 ",,$350.00 ,$195.00 ,4,$15.00 ,3,90
422,3888924,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
423,8842808,$215.00 ,,,$200.00 ,$30.00 ,5,$25.00 ,2,1125
424,1114695,$245.00 ,,,$200.00 ,$145.00 ,6,$15.00 ,1,1125
425,1715582,$65.00 ,,,,,1,$10.00 ,2,1125
426,6704734,$85.00 ,,,$100.00 ,$40.00 ,2,$10.00 ,2,1125
427,8555098,$95.00 ,,,,,1,$0.00 ,1,1125
428,1214316,$57.00 ,$339.00 ,"$1,197.00 ",,$25.00 ,2,$25.00 ,1,60
429,7325455,$75.00 ,,,$500.00 ,$20.00 ,1,$0.00 ,1,1125
430,6325685,$120.00 ,$825.00 ,,$250.00 ,$22.00 ,2,$10.00 ,1,29
431,9596,$120.00 ,$725.00 ,,$200.00 ,$85.00 ,2,$15.00 ,3,21
432,9568491,$40.00 ,$250.00 ,,,$5.00 ,1,$5.00 ,1,1125
433,1747184,$490.00 ,"$2,950.00 ","$7,500.00 ",$500.00 ,$225.00 ,6,$10.00 ,2,45
434,8653843,$50.00 ,,,$100.00 ,$15.00 ,2,$10.00 ,2,1125
435,6727729,$200.00 ,,,,$45.00 ,2,$25.00 ,2,1125
436,3888986,$40.00 ,$250.00 ,$750.00 ,$350.00 ,$35.00 ,1,$0.00 ,4,1125
437,4135710,$255.00 ,"$1,250.00 ","$2,750.00 ",$500.00 ,$95.00 ,2,$50.00 ,4,270
438,3652434,$95.00 ,$678.00 ,"$2,394.00 ",$100.00 ,$30.00 ,1,$0.00 ,1,10
439,7667990,$160.00 ,,,$100.00 ,$20.00 ,1,$0.00 ,1,1125
440,4047058,$55.00 ,$432.00 ,,,$25.00 ,1,$25.00 ,1,365
441,7163934,$85.00 ,$600.00 ,,,$20.00 ,1,$0.00 ,2,21
442,7717478,$325.00 ,"$2,000.00 ","$5,000.00 ",$800.00 ,$75.00 ,4,$25.00 ,2,1125
443,4653552,$144.00 ,"$1,250.00 ","$4,410.00 ",$200.00 ,$80.00 ,1,$0.00 ,1,30
444,6915439,$100.00 ,$600.00 ,"$2,500.00 ",$100.00 ,$30.00 ,1,$25.00 ,3,1125
445,506542,$115.00 ,$700.00 ,"$2,300.00 ",,$50.00 ,2,$10.00 ,3,1125
446,4046863,$55.00 ,$432.00 ,,,$25.00 ,1,$25.00 ,1,365
447,3915826,$95.00 ,$895.00 ,,,,1,$0.00 ,2,1125
448,4787415,$175.00 ,"$1,200.00 ",,$400.00 ,$100.00 ,4,$30.00 ,3,24
449,1602488,$95.00 ,,,,,2,$0.00 ,1,31
450,8459215,$100.00 ,,,$100.00 ,$25.00 ,1,$0.00 ,2,1125
451,10274175,$46.00 ,,,,,1,$0.00 ,1,1125
452,9167786,$50.00 ,,,,$10.00 ,1,$10.00 ,1,1125
453,5686435,$445.00 ,,,,$125.00 ,1,$0.00 ,3,1125
454,7939058,$75.00 ,$500.00 ,,,,1,$0.00 ,1,1125
455,8392801,$100.00 ,$800.00 ,"$2,590.00 ",$100.00 ,$50.00 ,1,$0.00 ,2,1125
456,7404370,$130.00 ,,,$500.00 ,,1,$10.00 ,2,1125
457,3720511,$235.00 ,"$2,000.00 ",,$150.00 ,$125.00 ,3,$50.00 ,2,1125
458,8193332,$100.00 ,"$1,000.00 ","$2,500.00 ",,$25.00 ,1,$0.00 ,1,1125
459,7957904,$120.00 ,,,,,1,$0.00 ,1,1125
460,4555997,$80.00 ,$550.00 ,"$1,999.00 ",$150.00 ,$45.00 ,1,$0.00 ,4,1125
461,2267088,$110.00 ,$785.00 ,"$2,750.00 ",,$40.00 ,4,$25.00 ,2,1125
462,108468,$395.00 ,,,$500.00 ,$250.00 ,9,$10.00 ,3,30
463,6400379,$88.00 ,$620.00 ,"$1,225.00 ",,$35.00 ,1,$0.00 ,1,1125
464,5948003,$55.00 ,,"$1,664.00 ",,$20.00 ,1,$0.00 ,3,1125
465,5058086,$145.00 ,$650.00 ,,$200.00 ,$100.00 ,2,$60.00 ,2,14
466,1209255,$425.00 ,,,$500.00 ,$150.00 ,1,$0.00 ,2,21
467,1914051,$114.00 ,$678.00 ,"$2,394.00 ",$250.00 ,$50.00 ,2,$50.00 ,2,1125
468,2923529,$110.00 ,"$1,000.00 ","$3,000.00 ",$300.00 ,$50.00 ,2,$20.00 ,2,1125
469,1027860,$300.00 ,,,$150.00 ,$150.00 ,1,$0.00 ,7,30
470,2373176,$117.00 ,$696.00 ,"$2,457.00 ",$250.00 ,$50.00 ,2,$50.00 ,2,1125
471,6404427,$275.00 ,"$1,800.00 ",,$500.00 ,$100.00 ,4,$20.00 ,2,30
472,8517602,$85.00 ,$482.00 ,"$1,600.00 ",,,2,$10.00 ,1,1125
473,7035240,$300.00 ,"$2,000.00 ",,,$100.00 ,1,$0.00 ,7,1125
474,4583161,$53.00 ,$325.00 ,"$1,100.00 ",$200.00 ,$20.00 ,1,$0.00 ,1,30
475,7967844,$107.00 ,$999.00 ,"$2,999.00 ",,$120.00 ,1,$0.00 ,1,1125
476,6562393,$348.00 ,"$1,900.00 ","$6,500.00 ",$300.00 ,$70.00 ,1,$0.00 ,3,1125
477,7807087,$89.00 ,,,$100.00 ,$60.00 ,2,$20.00 ,1,1125
478,5405643,$89.00 ,,"$3,500.00 ",$450.00 ,$75.00 ,4,$15.00 ,2,1125
479,7011200,$89.00 ,,,$250.00 ,$60.00 ,1,$0.00 ,1,1125
480,610989,$209.00 ,"$1,300.00 ",,,,1,$0.00 ,2,1125
481,7839535,$76.00 ,$446.00 ,"$1,302.00 ",,$35.00 ,1,$0.00 ,1,1125
482,4814894,$74.00 ,,,,$50.00 ,2,$15.00 ,3,20
483,186328,$250.00 ,"$1,900.00 ",,$100.00 ,$100.00 ,5,$100.00 ,3,15
484,7492877,$180.00 ,,,,$55.00 ,1,$0.00 ,1,1125
485,6576228,$179.00 ,,,,,1,$0.00 ,1,1125
486,241016,$115.00 ,,,,$20.00 ,2,$5.00 ,2,60
487,6968101,$140.00 ,,,,,1,$0.00 ,2,1125
488,5648564,$150.00 ,"$1,000.00 ","$3,000.00 ",$500.00 ,$150.00 ,4,$100.00 ,5,125
489,4116645,$70.00 ,$500.00 ,"$1,500.00 ",,,1,$0.00 ,1,1125
490,2419879,$300.00 ,,,,,1,$0.00 ,3,1125
491,6425735,$99.00 ,$560.00 ,"$1,500.00 ",$300.00 ,$40.00 ,1,$25.00 ,1,1125
492,8105351,$89.00 ,,,,$35.00 ,1,$0.00 ,1,1125
493,9136499,$100.00 ,,,,,1,$0.00 ,1,1125
494,3639023,$84.00 ,$500.00 ,"$1,800.00 ",$200.00 ,$50.00 ,1,$0.00 ,2,1125
495,6724599,$97.00 ,,,$250.00 ,$25.00 ,2,$10.00 ,4,16
496,4211629,$116.00 ,$775.00 ,"$2,750.00 ",$150.00 ,$80.00 ,1,$0.00 ,3,1125
497,7151924,$150.00 ,,,$300.00 ,$75.00 ,1,$0.00 ,2,14
498,704764,$110.00 ,,,$200.00 ,$50.00 ,1,$25.00 ,1,15
499,1796217,$265.00 ,,,,$169.00 ,1,$0.00 ,3,365
500,4661812,$115.00 ,$750.00 ,"$2,900.00 ",$100.00 ,$80.00 ,2,$15.00 ,3,1125
501,8811945,$100.00 ,$700.00 ,"$2,200.00 ",$100.00 ,$50.00 ,4,$25.00 ,6,28
502,1090307,$109.00 ,$675.00 ,,,,2,$30.00 ,2,14
503,15108,$60.00 ,$375.00 ,"$1,000.00 ",,,1,$15.00 ,1,730
504,1882316,$249.00 ,"$1,600.00 ","$6,000.00 ",$200.00 ,$100.00 ,1,$0.00 ,3,365
505,1095207,$250.00 ,,,$300.00 ,$150.00 ,1,$0.00 ,2,30
506,1343805,$100.00 ,$700.00 ,"$2,500.00 ",$250.00 ,$300.00 ,1,$0.00 ,26,30
507,9217150,$74.00 ,,,,$20.00 ,2,$30.00 ,1,1125
508,103920,$235.00 ,"$1,650.00 ","$4,250.00 ",$400.00 ,$125.00 ,2,$25.00 ,3,90
509,2215336,$99.00 ,"$1,000.00 ","$3,000.00 ",$200.00 ,$75.00 ,1,$0.00 ,3,1125
510,1483944,$96.00 ,$637.00 ,"$2,247.00 ",,$20.00 ,2,$10.00 ,1,1125
511,6466129,$92.00 ,$815.00 ,"$2,877.00 ",$95.00 ,$30.00 ,2,$14.00 ,1,1125
512,8536441,$85.00 ,$500.00 ,"$1,750.00 ",,,1,$0.00 ,2,1125
513,6262987,$55.00 ,,,$100.00 ,$10.00 ,2,$55.00 ,1,1125
514,8379081,$55.00 ,$349.00 ,"$1,099.00 ",$150.00 ,$35.00 ,2,$35.00 ,2,35
515,8365938,$80.00 ,,,,,1,$0.00 ,1,1125
516,9921445,$195.00 ,,,,,1,$0.00 ,2,1125
517,132160,$145.00 ,,,$400.00 ,,2,$20.00 ,3,30
518,2033191,$180.00 ,,,,$70.00 ,2,$10.00 ,3,1125
519,8849407,$50.00 ,,,,$20.00 ,1,$0.00 ,1,3
520,9922335,$160.00 ,,,,,1,$0.00 ,2,1125
521,7243974,$140.00 ,$850.00 ,,,$35.00 ,0,$0.00 ,2,1125
522,6490453,$140.00 ,$850.00 ,"$2,500.00 ",$500.00 ,$35.00 ,1,$0.00 ,2,1125
523,4025593,$40.00 ,,,,,1,$10.00 ,1,31
524,8556103,$145.00 ,$800.00 ,"$2,750.00 ",$500.00 ,$80.00 ,1,$0.00 ,2,1125
525,955506,$225.00 ,,,$300.00 ,$80.00 ,4,$25.00 ,3,20
526,9868607,$325.00 ,,,$200.00 ,$85.00 ,1,$0.00 ,1,1125
527,8668073,$199.00 ,,,$350.00 ,$100.00 ,2,$25.00 ,1,1125
528,790860,$450.00 ,"$2,950.00 ","$11,500.00 ",$500.00 ,$250.00 ,5,$18.00 ,4,120
529,261912,$175.00 ,,,$400.00 ,,2,$20.00 ,4,14
530,368403,$550.00 ,"$3,950.00 ","$13,500.00 ",$500.00 ,$300.00 ,4,$35.00 ,4,30
531,9878971,$149.00 ,,,$500.00 ,$100.00 ,1,$0.00 ,20,31
532,5602370,$130.00 ,$760.00 ,"$1,970.00 ",,,1,$0.00 ,3,120
533,9395217,$85.00 ,$450.00 ,"$1,700.00 ",,$30.00 ,2,$0.00 ,1,1125
534,7331079,$300.00 ,"$2,000.00 ",,$200.00 ,$100.00 ,1,$0.00 ,4,1125
535,580182,$79.00 ,"$1,300.00 ","$3,500.00 ",$200.00 ,$75.00 ,3,$15.00 ,2,1125
536,8152191,$59.00 ,$350.00 ,"$1,200.00 ",,,1,$0.00 ,2,1125
537,103908,$140.00 ,$900.00 ,,$400.00 ,$125.00 ,1,$25.00 ,2,730
538,783061,$60.00 ,$300.00 ,$780.00 ,,,1,$0.00 ,1,1125
539,7901725,$215.00 ,"$1,495.00 ",,$500.00 ,$80.00 ,1,$0.00 ,3,8
540,4968752,$100.00 ,$650.00 ,"$2,250.00 ",,$10.00 ,1,$0.00 ,1,14
541,14386,$40.00 ,$225.00 ,$650.00 ,,,1,$7.00 ,1,730
542,7517215,$99.00 ,,,,$20.00 ,1,$0.00 ,1,1125
543,1602421,$45.00 ,$285.00 ,$850.00 ,,,1,$15.00 ,1,1125
544,3821822,$75.00 ,$500.00 ,"$1,900.00 ",$300.00 ,$25.00 ,1,$0.00 ,2,28
545,6073437,$119.00 ,$795.00 ,"$2,725.00 ",,,2,$15.00 ,2,1125
546,7917700,$99.00 ,,,,$20.00 ,1,$0.00 ,1,1125
547,6278181,$225.00 ,,,$250.00 ,$25.00 ,4,$50.00 ,2,1125
548,4279578,$85.00 ,,,$95.00 ,$50.00 ,1,$10.00 ,1,35
549,9907337,$135.00 ,,,$200.00 ,$80.00 ,1,$0.00 ,4,1125
550,1796861,$335.00 ,"$2,100.00 ","$8,400.00 ","$1,000.00 ",$150.00 ,6,$50.00 ,2,1125
551,4211836,$79.00 ,$500.00 ,,$300.00 ,$20.00 ,2,$15.00 ,1,4
552,4025954,$90.00 ,$500.00 ,"$1,800.00 ",,$25.00 ,1,$0.00 ,2,1125
553,6154478,$111.00 ,,,$100.00 ,$5.00 ,1,$0.00 ,1,1125
554,84030,$110.00 ,$665.00 ,,$100.00 ,$75.00 ,2,$25.00 ,3,7
555,4235559,$325.00 ,,,$200.00 ,$119.00 ,6,$75.00 ,4,180
556,830948,$85.00 ,$550.00 ,"$1,500.00 ",$400.00 ,$60.00 ,2,$10.00 ,1,180
557,3468261,$190.00 ,,,$250.00 ,$50.00 ,2,$20.00 ,2,7
558,10026648,$65.00 ,$350.00 ,,,,1,$0.00 ,15,1125
559,9117633,$250.00 ,"$1,500.00 ",,,,1,$0.00 ,3,14
560,9158383,$69.00 ,$399.00 ,,,,1,$0.00 ,1,1125
561,1145590,$400.00 ,"$1,500.00 ","$3,000.00 ",$600.00 ,$75.00 ,3,$30.00 ,3,1125
562,5020848,$150.00 ,,,,,1,$0.00 ,1,1125
563,9600159,$200.00 ,,,,,1,$0.00 ,1,1125
564,3522409,$141.00 ,$899.00 ,"$3,000.00 ",$500.00 ,$45.00 ,2,$10.00 ,1,1125
565,9492873,$85.00 ,,,,,1,$0.00 ,1,1125
566,5534463,$775.00 ,,,$500.00 ,$100.00 ,6,$50.00 ,2,1125
567,9409233,$195.00 ,,,,$50.00 ,1,$0.00 ,2,1125
568,9531265,$249.00 ,,,,$100.00 ,1,$0.00 ,1,1125
569,5364609,$95.00 ,$595.00 ,,,$20.00 ,1,$0.00 ,4,1125
570,6629132,$122.00 ,$726.00 ,"$3,500.00 ",,,2,$25.00 ,1,1125
571,5489676,$170.00 ,"$1,000.00 ",,,,1,$0.00 ,5,1125
572,9347157,$65.00 ,,,,,1,$0.00 ,1,1125
573,10035644,$90.00 ,,,,,1,$0.00 ,2,1125
574,8293287,$88.00 ,$450.00 ,"$1,800.00 ",,$30.00 ,1,$0.00 ,2,15
575,910784,$125.00 ,,,$100.00 ,$25.00 ,4,$20.00 ,2,14
576,7071222,$145.00 ,"$1,090.00 ","$3,500.00 ",$200.00 ,$120.00 ,4,$25.00 ,2,10
577,8687716,$275.00 ,"$1,750.00 ","$4,695.00 ",$995.00 ,$195.00 ,1,$0.00 ,3,1125
578,7430679,$60.00 ,$340.00 ,"$1,000.00 ",,,1,$15.00 ,1,1125
579,180939,$95.00 ,$600.00 ,"$2,600.00 ",$200.00 ,$75.00 ,2,$50.00 ,2,90
580,6884604,$140.00 ,$550.00 ,"$1,890.00 ",,$60.00 ,1,$0.00 ,1,1125
581,7397476,$250.00 ,,,$500.00 ,$95.00 ,4,$25.00 ,2,1125
582,1063855,$225.00 ,"$1,485.00 ","$3,000.00 ",$250.00 ,$150.00 ,3,$25.00 ,3,365
583,8865006,$60.00 ,,,,$20.00 ,1,$0.00 ,1,1125
584,8069192,$95.00 ,$500.00 ,"$1,500.00 ",,$25.00 ,2,$50.00 ,1,1125
585,2800448,$65.00 ,$400.00 ,"$1,500.00 ",$300.00 ,$7.00 ,1,$0.00 ,2,1125
586,9076287,$78.00 ,$490.00 ,,,,1,$0.00 ,1,1125
587,7462439,$59.00 ,$749.00 ,"$1,999.00 ",$100.00 ,$20.00 ,2,$0.00 ,1,1125
588,8225635,$400.00 ,,"$6,900.00 ","$1,000.00 ",$150.00 ,8,$25.00 ,2,1125
589,2966415,$55.00 ,$300.00 ,"$1,100.00 ",,$15.00 ,1,$15.00 ,2,150
590,4639465,$129.00 ,$405.00 ,"$1,428.00 ",,$29.00 ,2,$29.00 ,1,7
591,7402190,$65.00 ,,,,,1,$0.00 ,2,1125
592,9448719,$175.00 ,,,,,1,$0.00 ,1,1125
593,5670781,$160.00 ,,,$200.00 ,$100.00 ,1,$0.00 ,2,1125
594,1905473,$75.00 ,,,$100.00 ,$20.00 ,1,$0.00 ,1,3
595,7266662,$80.00 ,$600.00 ,"$2,200.00 ",,$10.00 ,1,$0.00 ,2,1125
596,9095510,$109.00 ,$490.00 ,,,$15.00 ,1,$0.00 ,1,1125
597,7401854,$95.00 ,,,,$50.00 ,1,$0.00 ,1,1125
598,5174876,$85.00 ,,"$1,800.00 ",$100.00 ,$50.00 ,2,$15.00 ,1,30
599,1256883,$99.00 ,$599.00 ,"$1,799.00 ",$250.00 ,$100.00 ,4,$0.00 ,1,365
600,8072850,$90.00 ,$550.00 ,,,$20.00 ,2,$10.00 ,2,14
601,6706377,$73.00 ,$450.00 ,"$1,500.00 ",$500.00 ,$45.00 ,2,$50.00 ,2,30
602,9738522,$400.00 ,,,"$1,000.00 ",$200.00 ,11,$25.00 ,2,1125
603,2995996,$170.00 ,"$1,077.00 ","$3,801.00 ",$100.00 ,$75.00 ,3,$25.00 ,4,365
604,6674408,$48.00 ,,,,$30.00 ,2,$0.00 ,1,1125
605,6801095,$90.00 ,$600.00 ,"$1,600.00 ",,$20.00 ,1,$0.00 ,1,1125
606,143704,$82.00 ,$575.00 ,"$2,000.00 ",,$40.00 ,2,$30.00 ,3,60
607,9258305,$250.00 ,,,,$40.00 ,1,$0.00 ,2,1125
608,3727017,$199.00 ,"$1,500.00 ",,,$75.00 ,4,$35.00 ,2,1125
