type_no,listing_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet
320,3066740,Boat,Entire home/apt,6,3,3,3,Real Bed,
321,4130112,House,Entire home/apt,6,1.5,3,4,Real Bed,
322,4026757,House,Private room,2,2,1,1,Real Bed,
323,9545281,Apartment,Entire home/apt,2,1,1,1,Futon,
324,3294804,Apartment,Entire home/apt,4,1,1,1,Real Bed,
325,4122325,House,Entire home/apt,5,2,3,3,Real Bed,
326,8308353,House,Private room,2,1,1,1,Real Bed,
327,7226013,Apartment,Private room,2,1,1,1,Futon,
328,5761290,House,Entire home/apt,4,1,2,2,Real Bed,
329,182716,House,Private room,2,1,1,1,Real Bed,
330,3050140,Apartment,Entire home/apt,2,1,1,1,Real Bed,
331,3254956,Apartment,Entire home/apt,2,1,1,1,Real Bed,
332,1264287,House,Entire home/apt,12,2,5,6,Real Bed,
333,3404557,House,Shared room,1,1,1,1,Real Bed,
334,3939683,House,Shared room,1,1,1,1,Real Bed,
335,3424242,House,Shared room,1,1,1,1,Real Bed,
336,7985714,House,Shared room,1,1,1,1,Real Bed,
337,4279876,Apartment,Entire home/apt,4,1,2,2,Real Bed,
338,3870253,Apartment,Entire home/apt,6,1,2,4,Real Bed,
339,2187563,House,Entire home/apt,6,1,2,4,Real Bed,
340,3889299,House,Shared room,1,1,1,1,Real Bed,
341,3889330,House,Shared room,1,1,1,1,Real Bed,
342,1184846,Apartment,Entire home/apt,2,1,1,1,Real Bed,
343,3626162,House,Entire home/apt,4,1,1,2,Real Bed,
344,456040,House,Private room,2,1,1,1,Real Bed,
345,9033154,House,Entire home/apt,7,3,4,5,Real Bed,
346,4340838,House,Entire home/apt,2,1,0,1,Real Bed,
347,808811,House,Entire home/apt,6,1,2,3,Real Bed,1000
348,7368030,Apartment,Entire home/apt,2,1,1,1,Real Bed,
349,522287,House,Private room,3,1,1,3,Real Bed,
350,1940787,House,Entire home/apt,5,1,2,2,Real Bed,
351,3732103,House,Shared room,1,1,1,1,Real Bed,
352,43373,House,Private room,2,2,1,2,Real Bed,
353,5126365,House,Private room,2,1,1,1,Real Bed,
354,7182584,House,Entire home/apt,5,1,2,3,Real Bed,
355,5325214,House,Entire home/apt,3,1,0,1,Real Bed,
356,2710274,House,Private room,2,1,1,1,Real Bed,
357,5128160,House,Entire home/apt,8,3,4,5,Real Bed,
358,3424114,House,Shared room,1,1,1,1,Real Bed,
359,2776890,House,Entire home/apt,2,1,1,1,Real Bed,
360,4521755,Apartment,Entire home/apt,4,1,1,2,Real Bed,
361,3456599,Apartment,Entire home/apt,4,1,1,1,Real Bed,
362,8207848,Apartment,Entire home/apt,4,1,2,2,Real Bed,
363,10249527,Apartment,Private room,3,1,1,1,Airbed,
364,1252740,House,Private room,2,1.5,1,1,Real Bed,
365,4250938,House,Entire home/apt,6,1,2,4,Real Bed,
366,3791920,House,Entire home/apt,4,1,1,2,Real Bed,
367,4258762,Apartment,Entire home/apt,2,1,1,1,Real Bed,
368,7364146,Apartment,Entire home/apt,4,1,1,2,Real Bed,
369,6765045,House,Entire home/apt,7,1,3,4,Real Bed,
370,3193738,House,Entire home/apt,4,1,1,2,Real Bed,
371,8765219,House,Entire home/apt,5,1,1,2,Real Bed,
372,8174285,Apartment,Entire home/apt,2,1,1,1,Real Bed,
373,3403638,House,Shared room,1,1,1,1,Real Bed,
374,7601333,House,Entire home/apt,4,1,2,2,Real Bed,
375,6707735,Apartment,Entire home/apt,2,1,1,1,Real Bed,
376,7322718,House,Entire home/apt,5,1,3,3,Real Bed,
377,3783162,House,Entire home/apt,8,2,3,3,Real Bed,
378,6606,Apartment,Entire home/apt,2,1,1,1,Real Bed,
379,3889280,House,Shared room,1,1,1,1,Real Bed,
380,3971137,Apartment,Entire home/apt,2,1,0,1,Real Bed,
381,3889050,House,Shared room,1,1,1,1,Real Bed,
382,799882,House,Private room,2,1.5,1,1,Pull-out Sofa,2000
383,9508386,House,Entire home/apt,8,2,4,4,Real Bed,
